Message Size,Num Service,Users,Throughput,Avg_Latency,percentile_10,percentile_50,percentile_90,percentile_99,percentile_99.9,percentile_99.99,Std,Tail Index,popt
50,1,1,1248.595744,0.7291959792,0,1,1,1,3,4,0.6111023064,0.00829634,[0.00829634 1.72477176]
50,1,2,3114.254093,0.5937200785,0,1,1,1,3,4,0.6176785457,0.00709906,[0.00709906 1.68634159]
50,1,50,34732.65162,1.433486,0,1,2,12,58,85,3.585665195,0.0039942,[0.0039942  0.96026902]
50,1,100,38803.88539,2.533988,1,2,3,23,78,110,5.615661832,0.00558157,[0.00558157 0.75330335]
50,1,300,41575.2979,6.8151935,2,5,13,43,114,161,9.154664552,0.00752372,[0.00752372 0.50688704]
50,1,500,40341.62941,11.661599,4,9,21,58,123,166,11.34218153,0.00859301,[0.00859301 0.38001897]
50,1,700,40279.36157,16.1069805,5,12,30,80,143,218,14.9160802,0.00905599,[0.00905599 0.20088534]
50,1,1000,31487.87277,23.4564745,2,16,44,160,622,1150.0002,43.11356988,0.07432739,[ 0.07432739 -1.58686685]
50,2,1,426.2389077,2.267182319,2,2,3,3,5,7,0.49244472,0.15810018,[0.15810018 1.78208848]
50,2,2,940.0626708,2.057333333,2,2,2,3,5,6.6001,0.4932165187,1.13E-03,[1.13062242e-03 1.90026438e+00]
50,2,50,26819.00039,1.8279235,1,1,2,13,36,57,2.739500717,0.00356129,[0.00356129 1.1217274 ]
50,2,100,28382.69137,3.471084,2,3,5,24,52,78,4.37335659,0.00515023,[0.00515023 0.89945884]
50,2,300,29887.65798,9.911061,4,8,17,47,88,125,8.441703374,0.00710375,[0.00710375 0.55614989]
50,2,500,30027.9459,16.378457,7,13,29,66,107,144,11.92606093,0.00824701,[0.00824701 0.35185531]
50,2,700,28623.45752,24.3412445,10,20,43,93,154,707,21.36657995,0.00278178,[ 0.00278178 -0.06974313]
50,2,1000,22550.33838,37.572349,8,27,67,194,1090,1924.0001,66.87308017,-2.28501946,[-2.28501946  3.58572445]
50,3,1,230.8366711,4.240272072,4,4,5,5,7,8,1.117395911,0.00201597,[0.00201597 1.53582734]
50,3,2,501.1925815,3.897281298,3,4,4,5,7,8,1.032761739,3.52E-04,[3.51602998e-04 1.57472526e+00]
50,3,50,22215.4477,2.2114995,1,2,4,11,20,44,2.111475186,0.00166814,[0.00166814 1.2495687 ]
50,3,100,24648.43199,3.9723075,2,3,8,21,36,50,3.76990353,0.00432819,[0.00432819 0.97359113]
50,3,300,26875.94064,11.0723025,5,8,21,46,75,112,8.946853293,0.00064934,[0.00064934 0.53716117]
50,3,500,27299.70883,18.1465285,8,15,33,65,99,128,12.32430095,0.00800738,[0.00800738 0.33212624]
50,3,700,26745.52452,25.6456325,11,21,46,88,133,174,16.85024558,0.00886582,[0.00886582 0.11527527]
50,3,1000,19565.78917,42.5641015,9,29,81,294,602.001,1237,56.67754519,0.57396861,[ 0.57396861 -4.26283319]
400,1,1,1132.283378,0.8071090947,0,1,1,1,3,4,0.5934809963,0.00893587,[0.00893587 1.75561473]
400,1,2,2793.288575,0.6603674397,0,1,1,1,3,4,0.6181455149,0.00772463,[0.00772463 1.70259658]
400,1,50,29661.5629,1.6297765,0,1,2,14,61,99,3.975777039,0.00432722,[0.00432722 0.91167953]
400,1,100,33601.29614,2.92048,1,2,4,27,84.001,120,7.189154997,0.00214506,[0.00214506 0.63434403]
400,1,300,36098.85641,7.996459,2,5,16,51,114,158,10.11260513,0.00787766,[0.00787766 0.44939783]
400,1,500,35103.30058,13.255173,4,10,25,75,132,185,13.5452596,0.01013219,[0.01013219 0.26441972]
400,1,700,34250.71884,18.61769,5,14,36,96,156,224,17.59997392,0.00882256,[0.00882256 0.07981703]
400,1,1000,28604.7742,25.350396,2,16,51,173,539,1122,45.23124266,0.11583401,[ 0.11583401 -1.89398206]
400,2,1,400.4186932,2.41700661,2,2,3,3,6,7,0.7391361674,0.00583493,[0.00583493 1.71267962]
400,2,2,914.6526435,2.117620796,2,2,3,3,5,6,0.6184487218,1.69E-03,[1.68867504e-03 1.79952336e+00]
400,2,50,25112.70014,1.9328065,1,1,3,13,26,39,2.347976263,0.0040456,[0.0040456 1.1944367]
400,2,100,26585.06133,3.7461945,2,3,7,22,42,61,3.986047449,0.00467086,[0.00467086 0.94581454]
400,2,300,29130.16839,10.288569,4,8,19,49,85,117,8.983203601,0.00599734,[0.00599734 0.52371975]
400,2,500,29132.36794,16.8050635,7,13,30,68,115,160,12.48740607,0.0076066,[0.0076066  0.32417301]
400,2,700,28527.72657,23.929963,9,19,43,94,154,208,17.46972318,0.00867517,[0.00867517 0.0875614 ]
400,2,1000,23075.92254,36.626689,8,26,66,208,761,1383.0005,55.06452635,0.59662842,[ 0.59662842 -4.23167939]
400,3,1,233.4118384,4.190155529,4,4,5,5,7,9,1.112231798,0.00186382,[0.00186382 1.53824952]
400,3,2,499.6141416,3.917137338,3,4,4,5,7,8,1.024589923,4.38E-04,[4.38091458e-04 1.57807421e+00]
400,3,50,21630.46895,2.2261725,1,2,4,10,19,46,1.988215657,0.00196552,[0.00196552 1.27672264]
400,3,100,23935.7443,4.148079,2,3,8,20,37,59.0001,3.793109886,0.0046672,[0.0046672  0.97011489]
400,3,300,26181.81621,11.3543535,5,8,21,45,70,92,8.41937326,0.00711634,[0.00711634 0.55825076]
400,3,500,26252.66219,18.756531,8,15,35,68,108,156,13.26636321,0.00750354,[0.00750354 0.28571052]
400,3,700,26242.39747,25.9297765,10,21,47,90,136,176,17.32502413,0.00929059,[0.00929059 0.09313537]
400,3,1000,18964.85225,44.266171,9,29,83,294,1060,1328,67.08524385,-2.38445754,[-2.38445754  3.92176955]
1024,1,1,2113.647198,0.4379642743,0,0,1,1,2,3,0.5903663596,0.00552301,[0.00552301 1.66476745]
1024,1,2,2585.462079,0.7017152759,0,1,1,1,3,4,0.6284251374,0.00797907,[0.00797907 1.70513771]
1024,1,50,29999.91332,1.6418875,0,1,2,14,33,52,2.793764474,0.00414298,[0.00414298 1.07511057]
