Prime Number,Num Service,Users,Throughput,Avg_Latency,percentile_10,percentile_50,percentile_90,percentile_99,percentile_99.9,percentile_99.99,Std,Tail Index,popt,,,
521,1,1,1024.313247,0.889964657,0,1,1,1,3,4,0.5616899501,0.00960202,[0.00960202 1.79810999],0.0009762638557,,SERVICE TIME
521,1,2,2583.070261,0.7204957722,0,1,1,1,3,4,0.6099387527,0.00822793,[0.00822793 1.72302839],,,
521,1,50,22321.48411,2.193314,1,2,3,17,57,87,4.13103349,0.00473566,[0.00473566 0.91139806],,,
521,1,100,27954.47356,3.4904515,1,2,6,23,79,115,5.834512647,0.00537551,[0.00537551 0.74809472],,,
521,1,300,32616.19468,8.9100105,2,6,18,59,117,159,10.97059038,0.00599548,[0.00599548 0.40621485],,,
521,1,500,32159.20497,14.9700355,4,11,28,79,139,214,14.25747627,0.0016093,[0.0016093  0.24994114],,,
521,1,700,33342.69271,19.6622765,6,15,35,103,156,227,17.71569647,0.00205746,[0.00205746 0.09127926],,,
521,1,1000,29314.96743,26.9110185,4,18,48,169,963,1331.0001,55.05667292,0.56092851,[ 0.56092851 -4.37892653],,,
521,2,1,360.0222014,2.686518519,2,3,3,4,6,7,0.9399801562,2.38E-04,[2.37585722e-04 1.61690167e+00],,0.0004881319279,SERVICE (SINGLE MICRO-SERVICE)
521,2,2,842.8714533,2.301771837,2,2,3,3,6,7,0.869184698,0.00227012,[0.00227012 1.64717248],,,
521,2,50,13803.62504,3.491752,2,3,5,20,58,85,4.340384427,0.00292922,[0.00292922 0.90704456],,,
521,2,100,14804.07927,6.6723965,3,5,12,34,83,225,8.320328205,0.00230164,[0.00230164 0.57352514],,,
521,2,300,18518.08494,16.0893185,6,12,28,81,233,301.0001,17.70676906,0.00407036,[0.00407036 0.08666721],,,
521,2,500,19282.20502,25.716656,11,21,44,108,250,434,22.10797684,0.00624156,[ 0.00624156 -0.11178805],,,
521,2,700,19432.02373,35.7577715,15,30,60,145,270,458,27.45787075,0.01078236,[ 0.01078236 -0.37039124],,,
521,2,1000,16464.79152,54.713734,16,43,93,271,1075,3193,75.5646689,-2.63263747,[-2.63263747  4.69355089],,,
521,3,1,209.6150703,4.671694751,4,5,5,6,8,9,1.169502277,3.14E-04,[3.14160128e-04 1.51927513e+00],,0.0003254212852,3072.939741
521,3,2,433.2674403,4.517322962,4,5,5,6,8,9,1.146160079,2.19E-04,[2.19144667e-04 1.52850758e+00],,,
521,3,50,12211.61103,4.161082,2,3,7,19,45,69,3.768189033,0.00449488,[0.00449488 0.97322019],,,
521,3,100,13031.87001,7.5736835,4,6,14,31,55,215,6.302734783,0.00182273,[0.00182273 0.72254833],,,
521,3,300,15640.64,18.990762,8,15,33,71,229,269,15.84358153,0.0027425,[0.0027425  0.17370393],,,
521,3,500,16926.89261,29.3229255,13,25,50,95,243,320,20.1967347,0.00388673,[ 0.00388673 -0.02164399],,,
521,3,700,16702.20245,41.704385,19,36,69,126,270,475,26.35518023,0.00794336,[ 0.00794336 -0.30975401],,,
521,3,1000,14383.41795,62.0978945,17,47,112,313,992.002,1294,69.71771923,-1.45187964,[-1.45187964  1.07390758],,,
7919,1,1,562.8817969,1.670743191,1,2,2,2,4,5,0.7839173887,0.00570288,[0.00570288 1.68530108],,,
7919,1,2,1127.891859,1.674335368,1,2,2,2,4,5,0.7676689477,0.00577906,[0.00577906 1.69442199],,,
7919,1,50,8934.334065,5.5227095,1,3,10,57,119,181,10.78518045,0.00508759,[0.00508759 0.41889801],,,
7919,1,100,11260.94262,8.788238,2,5,17,79,150,221,14.7179257,0.00721006,[0.00721006 0.21532272],,,
7919,1,300,10683.41881,27.898002,5,19,64,160,249,339,32.0927746,0.02755713,[ 0.02755713 -0.65221865],,,
7919,1,500,11390.55239,43.480656,8,32,97,182,285,370,39.25809363,0.02350146,[ 0.02350146 -1.08738555],,,
7919,1,700,9377.811444,73.716885,13,56,161,275,392,490,61.39213528,-1.60E-03,[-1.60203298e-03 -2.94756162e+00],,,
7919,1,1000,9528.313145,96.9450735,14,72,207,398,1092,3186,105.0968183,-1.37408758,[-1.37408758  1.08415785],,,
7919,2,1,269.9292121,3.607791438,3,4,4,5,7,8,1.052714961,2.14E-04,[2.14196408e-04 1.56650005e+00],,,
7919,2,2,577.3818255,3.373096886,3,3,4,5,7,8,1.014517405,1.83E-04,[1.82966683e-04 1.58304977e+00],,,
7919,2,50,6378.226476,7.797429,3,6,13,32,67,215,6.741704531,0.00263975,[0.00263975 0.68572485],,,
7919,2,100,7995.980983,12.443299,4,10,22,51,221,246,12.684575,0.0037433,[0.0037433  0.32201479],,,
7919,2,300,11233.97103,26.542056,10,21,45,110,257,451,23.37815196,0.00750461,[ 0.00750461 -0.17162209],,,
7919,2,500,10582.57006,47.2487045,20,40,79,171,307,497.0001,32.4461849,0.0169157,[ 0.0169157  -0.64877537],,,
7919,2,700,10136.89227,68.6059815,31,61,113,220,347,539,40.26885434,0.03857114,[ 0.03857114 -1.20140991],,,
7919,2,1000,9912.205657,94.135559,32,81,158,368,1148,1487.0001,81.3015168,-2.96578939,[-2.96578939  5.54253489],,,
7919,3,1,168.4687222,5.833598813,5,6,6,7,9,10.8926,1.340944836,5.68E-04,[5.67646911e-04 1.45735123e+00],,,
7919,3,2,363.204363,5.403589605,5,5,6,7,9,10,1.283334387,2.30E-04,[2.30392685e-04 1.47784038e+00],,,
7919,3,50,6406.157441,7.732588,4,6,13,26,52,75.0001,4.785794377,0.00234921,[0.00234921 0.86038817],,,
7919,3,100,6870.729057,14.4059475,7,12,24,48,211,238,10.86567849,0.00257363,[0.00257363 0.42027804],,,
7919,3,300,9904.322202,30.1407625,14,26,49,97,256,457,22.06436476,0.00594738,[ 0.00594738 -0.10911433],,,
7919,3,500,10641.49462,46.574992,22,41,75,138,285,494,28.38275135,0.01041025,[ 0.01041025 -0.41531953],,,
7919,3,700,10490.08213,66.6324855,31,58,110,201,326,517,37.7454902,0.01591372,[ 0.01591372 -0.96875103],,,
7919,3,1000,10361.3495,88.726137,33,72,156,357,986.002,1390,74.42025522,-3.96897674,[-3.96897674  8.42976085],,,
10007,1,1,502.092636,1.886942464,1,2,2,2,4,5,0.8321312809,0.00823269,[0.00823269 1.65330847],,,
10007,1,2,993.2995533,1.908017586,1,2,2,3,4,5,0.7303670794,1.48E-04,[1.48409947e-04 1.72900838e+00],,,
10007,1,50,7521.532735,6.566924,1,3,12,66,130,204,12.51230079,0.00571972,[0.00571972 0.32641252],,,
10007,1,100,7787.113786,12.744003,2,6,27,113,181,243,21.2215431,0.00720278,[ 0.00720278 -0.07402971],,,
10007,1,300,7972.955765,37.4756765,5,24,96,219,330,409,45.2670991,0.1888015,[ 0.1888015  -1.96423343],,,
10007,1,500,7825.685581,63.4610505,9,45,151,274,387,472,60.04071556,-0.08514379,[-0.08514379 -2.62800418],,,
10007,1,700,8630.424312,80.018054,15,63,169,297,410,524,64.36382772,-1.93270545,[-1.93270545  2.04481771],,,
10007,1,1000,8166.672768,116.55273,19,89,239,434,1208,3322,130.0348942,-1.51486161,[-1.51486161  1.58708789],,,
10007,2,1,252.4276538,3.858755868,3,4,4,5,8,9,1.062115193,4.87E-04,[4.87261066e-04 1.56192143e+00],,,
10007,2,2,535.9582905,3.634570351,3,4,4,5,7,9,1.05052264,2.41E-04,[2.41450246e-04 1.56736986e+00],,,
10007,2,50,5736.366197,8.630568,4,7,15,33,65,217,6.857654045,0.00265766,[0.00265766 0.67682158],,,
10007,2,100,7339.412001,13.570707,5,11,24,53,224,249,13.31309403,0.00374233,[0.00374233 0.29076098],,,
10007,2,300,9630.679887,31.0201925,12,25,53,127,267,448.0001,25.43881854,0.00945481,[ 0.00945481 -0.27074067],,,
10007,2,500,9345.740168,53.1439775,23,46,88,187,316,518,34.89553623,0.02345378,[ 0.02345378 -0.80961908],,,
10007,2,700,9395.865308,74.47959,34,66,121,234,359,537,42.21463506,0.06728843,[ 0.06728843 -1.41872253],,,
10007,2,1000,8893.098726,105.9149615,35,92,180,391,1200,1832.0001,95.36441387,-2.5075419,[-2.5075419   4.43259374],,,
10007,3,1,157.8857889,6.223752969,6,6,7,8,10,11,1.354762694,1.63E-04,[1.63161833e-04 1.45366300e+00],,,
10007,3,2,350.122758,5.613860868,5,6,6,8,9,10,1.306967958,1.11E-04,[1.11331003e-04 1.46991981e+00],,,
10007,3,50,5662.986916,8.727231,5,7,14,28,51,76,4.983285269,0.00207782,[0.00207782 0.84093365],,,
10007,3,100,6242.988972,16.0464985,8,13,26,53,217,243.0001,11.81458507,0.00160077,[0.00160077 0.37157846],,,
10007,3,300,9023.712648,33.0808405,15,28,55,102,255,456.0001,22.0622493,0.00266688,[ 0.00266688 -0.10045378],,,
10007,3,500,9685.738326,51.5306465,24,45,84,153,292,499,30.36855604,0.01224681,[ 0.01224681 -0.52260341],,,
10007,3,700,10233.70992,68.1770465,34,60,110,201,322,512,36.73518217,0.01306237,[ 0.01306237 -0.89552899],,,
10007,3,1000,9525.270635,99.504006,36,80,175,398,1207,1584.0001,88.66745829,-6.34397168,[-6.34397168 15.695023  ],,,
100003,1,1,207.5388359,4.698614625,4,4,6,8,9,11,1.155461571,0.06455217,[0.06455217 1.45971313],,,
100003,1,2,501.4509325,3.865893302,3,4,4,8,9,11,0.804246109,0.00834512,[0.00834512 1.67740724],,,
100003,1,50,918.7078322,54.316569,8,35,127,216,306,398,50.34610528,0.69088955,[ 0.69088955 -3.69845502],,,
100003,1,100,962.9937048,103.7076999,15,76,225,367,505,661.1125,87.5320508,-9.36320655,[-9.36320655 22.27776299],,,
100003,1,300,961.7676324,311.6791335,101,289,549,781,974.951,1174.8853,174.5237456,-12.99004765,[-12.99004765  35.80818768],,,
100003,1,500,957.4011237,521.7070734,299,512,783,1074,1397.253,1921,192.9933756,-9.01446493,[-9.01446493 25.34528801],,,
100003,1,700,924.0440143,756.5525627,517,734,1036,1409,2013,2385.1328,220.1109284,-6.3904059,[-6.3904059  17.99544656],,,
100003,1,1000,912.5219461,1093.705839,787,1058,1409,2167.62,4176.662,8293.6648,324.9641505,-3.70625349,[-3.70625349 10.285553  ],,,
100003,2,1,72.38504464,13.69577932,11,14,15,17,19,21,2.215583065,5.31E-04,[5.30791703e-04 1.22949070e+00],,,
100003,2,2,155.3352101,12.77328426,12,13,13,16,18,21,1.518490986,5.27E-04,[5.26942011e-04 1.40154382e+00],,,
100003,2,50,1636.853518,30.48363364,12,23,60,117,168,219,22.83320828,0.01415523,[ 0.01415523 -0.16045225],,,
100003,2,100,1575.59412,63.37913126,17,48,130,227,315,389,48.34407156,0.35061994,[ 0.35061994 -2.64314248],,,
