Num Service,Users,Throughput,Avg_Latency,percentile_10,percentile_50,percentile_90,percentile_99,percentile_99.9,percentile_99.99,Std,Tail Index,popt
1,1,343.1322546,2.813957555,2,3,3,3,9,10,1.323124083,0.00816247,[0.00816247 1.44699879]
1,2,704.6834555,2.742175674,2,3,3,3,10,11,1.108415575,0.00726529,[0.00726529 1.52826805]
1,50,16783.12446,2.924125,2,2,4,17,36,68,3.119559742,0.00212741,[0.00212741 1.06720372]
1,100,14262.09179,6.9960145,2,5,13,34,127,190,8.876414851,0.00543969,[0.00543969 0.53090144]
1,300,13640.829,21.819913,7,18,39,94,168,252,18.03141846,0.01018994,[0.01018994 0.058924  ]
1,500,14274.6086,34.6127205,12,30,59,121,307,362,24.43252959,0.01071414,[ 0.01071414 -0.22571905]
1,700,14086.4771,48.425397,19,44,80,147,438,479,31.80509549,0.01953315,[ 0.01953315 -0.61795842]
1,1000,13404.05291,66.306726,13,53,110,386,1265,2010.0004,91.91494795,-4.77108526,[-4.77108526 11.40822947]
2,1,119.8232422,8.235156641,8,8,9,9,15,18,1.782474361,0.00272898,[0.00272898 1.32399818]
2,2,249.8724911,7.91020125,7,8,9,11,16,19.0088,2.225284916,5.79E-04,[5.79112031e-04 1.22729004e+00]
2,50,7434.211557,6.6651195,4,5,11,33,55,218,6.775242988,0.00122148,[0.00122148 0.68616074]
2,100,8165.966071,12.1700875,4,7,24,73,213,273,15.99538364,0.00403843,[0.00403843 0.16338601]
2,300,8103.711767,36.5616155,12,25,70,232,337,475,38.47503979,0.03135394,[ 0.03135394 -1.05647822]
2,500,7855.775591,63.1332205,23,48,115,290,465,602,54.1785738,0.42948627,[ 0.42948627 -3.53386668]
2,700,7547.836922,91.8901995,38,76,157,348,541,749,65.39833573,-0.64099748,[-0.64099748 -1.3947249 ]
2,1000,7649.033454,127.3173685,38,105,240,497,1153,1490,105.2407196,-3.58314404,[-3.58314404  7.68702381]
