Prime Number,Num Service,Users,Avg_Latency,min_latency,max_latency,percentile_90,percentile_95,percentile_99,Throughput,error_rate,A_last_one_minutes_la,A_last_five_minutes_la,A_last_fifteen_minutes_la,B_last_one_minutes_la,B_last_five_minutes_la,B_last_fifteen_minutes_la,,,,,,
521,1,1,2.415990391,0,395,3,3,3,5.586764205,0,0.31,0.46,0.44,0.16,0.25,3.12,,,,,,
521,1,2,2.117860412,0,421,3,3,3,912.9452132,0,0.84,0.94,0.81,0.44,0.42,1.45,,,,,,
521,1,50,2.480252275,0,207,4,6,13,19891.82743,0,4.75,4.47,3.23,3.31,3.15,2.6,,,,,,
521,1,100,4.457761553,0,301,9,12,23,22163.10352,0,5.34,5.36,4.62,3.54,3.56,3.29,,,,,,
521,1,300,11.577597,0,255,23,31,51,25706.57747,0,6.53,6.73,6.04,4.02,4.6,4.31,,,,,,
521,1,500,18.48273728,0,324,29,42,102,26839.93532,0,9.39,8.54,7.46,5.91,5.36,5.01,,,,,,
521,1,700,26.60307449,0,449,45,53,71,26071.88497,0,8.98,8.8,8.23,4.93,5.09,5.05,,,,,,
521,1,1000,42.36977776,0,3016,66,92,189,21053.38458,1.362599725,8.37,7.31,7.49,4.75,5.27,5.41,,,,,,
521,2,1,4.703205924,2,542,5,5,6,208.2222148,0,0.32,0.43,0.29,0.21,0.13,0.09,0.06,0.11,0.05,,,
521,2,2,4.030901597,2,540,4,5,6,485.2791167,0,0.84,0.96,0.73,0.26,0.21,0.18,0.24,0.3,0.2,,,
521,2,50,4.61550589,1,550,7,12,24,10724.44663,0,5.28,5.03,3.56,1.5,1.58,1.1,2.26,2.16,1.41,,,
521,2,100,8.770000656,1,551,16,21,38,11334.48352,0,5.72,5.58,4.83,2.7,2.95,2.28,2.9,2.34,1.95,,,
521,2,300,23.88862668,1,623,40,50,78,12518.25919,0,7.16,7.13,6.29,4.55,4.53,3.71,4.2,4.35,3.59,,,
521,2,500,38.70077592,1,1051,63,77,117.99,12881.59617,0,7.45,7.96,7.39,4.16,4.91,4.52,6.24,5.43,4.7,,,
