Num Service,Users,Avg_Latency,min_latency,max_latency,percentile_90,percentile_95,percentile_99,Throughput,error_rate,A_last_one_minutes_la,A_last_five_minutes_la,A_last_fifteen_minutes_la,B_last_one_minutes_la,B_last_five_minutes_la,B_last_fifteen_minutes_la,C_last_one_minutes_la,C_last_five_minutes_la,C_last_fifteen_minutes_la
1,1,4.919761329,2,382,6,6,6,199.729982,0,0.37,0.29,0.19,0.06,0.08,0.07,,,
1,2,4.26616361,3,380,5,5,5,459.8848925,0,0.53,0.63,0.51,0.35,0.38,0.22,,,
1,50,5.765532973,1,404,10,14,28,8595.037286,0,4.31,4.35,3.04,4.97,4.81,3.27,,,
1,100,9.402329339,1,450,17,26,48,10558.04941,0,5.97,5.5,4.51,9.3,8.25,6.48,,,
1,300,22.57803387,1,513,41,59,141.99,13205.42286,1.26E-05,5.38,6.55,6.07,8.85,11.84,10.07,,,
1,500,36.73421242,1,504,58,69,101,13558.8724,0,8.47,7.7,7.15,16.31,13.92,11.83,,,
1,700,53.58349646,1,545,80,105,167,13020.6337,0,7.66,8.59,8.18,8.79,11.29,12.13,,,
1,1000,79.4173295,1,3512,94,115,214.99,11817.03414,3.723021286,8.64,8.76,8.35,9.49,10.59,11.8,,,
2,1,9.768484077,6,378,10,11,11,102.1690249,0,0.18,0.21,0.17,0.12,0.14,0.09,0.02,0.06,0.02
2,2,8.867656974,5,365,9,10,11,224.9744565,0,0.27,0.43,0.35,0.4,0.38,0.28,0.23,0.16,0.1
2,50,11.72938311,3,378,19,29,54,4256.704834,0,4.45,4.5,3.12,6.02,4.59,2.98,2.94,2.75,1.89
2,100,16.05268254,3,388,31,41,70.99,6221.658034,0,5.7,5.44,4.61,4.84,5.77,4.88,4.39,5.56,4.4
2,300,35.410447,3,501,67,83,119,8458.399401,0,4.85,6,5.69,13.54,11.25,8.42,8.68,7.87,6.64
2,500,61.03851279,4,528,129,150.95,186,8181.900603,0,6.34,6.8,6.27,11.92,12.11,10.24,9.09,9.05,8.19
2,700,85.83965945,3,592,169,210,272,8144.384857,0,8.42,7.79,7.15,11.31,10.93,10.51,9.56,10.47,9.81
2,1000,135.296845,2,4909,284,367.95,1217,6986.763203,3.821868063,6.09,7.13,7.22,10.02,9.14,9.88,8.77,10.06,10.22
