Num Service,Users,Avg_Latency,min_latency,max_latency,percentile_90,percentile_95,percentile_99,Throughput,error_rate,A_last_one_minutes_la,A_last_five_minutes_la,A_last_fifteen_minutes_la,B_last_one_minutes_la,B_last_five_minutes_la,B_last_fifteen_minutes_la,C_last_one_minutes_la,C_last_five_minutes_la,C_last_fifteen_minutes_la
1,1,2.642893963,1,378,3,3,4,368.6054497,0,0.71,0.59,0.36,0.15,0.18,0.12,,,
1,2,2.624549538,1,381,3,3,3,743.264168,0,1.61,1.27,0.9,0.42,0.43,0.35,,,
1,50,4.332735357,0,421,8,12,25,11420.80612,0,4.61,4.4,3.23,5.82,4.24,2.77,,,
1,100,7.59623518,0,420,13,18,36,13069.40296,0,5.25,5.46,4.77,4.79,6.5,5.49,,,
1,300,17.99008712,0,435,31,38,78,16573.66084,0,7.66,8.28,7.11,8.66,8.64,7.42,,,
1,500,30.62737535,0,558,49,69,115.98,16240.6956,0,9.81,9.2,8.36,9.29,9.24,8.56,,,
1,700,45.52719443,0,677,76,95,153,15296.81798,0,9.5,9.8,9.21,6.93,8.71,8.98,,,
1,1000,68.58841956,0,3909,113,166,516,13453.95284,2.137494532,6.66,7.91,8.47,6.92,8.71,8.83,,,
2,1,3.795517833,2,360,4,5,5,262.1657299,0,0.51,0.48,1.74,0.35,0.36,2.22,0.2,0.29,2.24
2,2,3.65350931,2,360,4,4,5,543.9265546,0,1.12,1.13,1.35,0.46,0.48,1.12,0.35,0.32,1.04
2,50,6.386200187,1,191,13,17,31.99,7810.535598,0,4.1,4.42,3.47,2.67,2.99,2.46,3.47,4.09,3.2
2,100,10.45449244,1,267,18,23,47,9546.711626,0,5.16,5.46,4.85,4.94,5.04,4.12,5.43,5.56,4.7
2,300,26.38667994,1,333,47,60,90,11350.76747,0,8.17,8.35,7.29,5.73,6.86,6.07,7.58,6.86,6.13
2,500,45.42956596,3,385,75,89,122,10995.70486,0,9.56,9.37,8.59,6.28,6.77,6.59,6.06,7.12,6.94
2,700,66.60294227,3,492,96,116,193,10505.46512,0,8.36,8.94,8.86,8.4,8.56,7.7,11.2,10.45,9.21
2,1000,109.2804945,1,4689,202,281,458,8653.741824,2.586367501,8.37,8.08,8.26,6.64,7.44,7.69,9.04,8.5,8.69
